Position,Number of employees,Salary/month/employee,Salary/month,Salary/year/employee,Salary/year
Manager,1,"?29,166.67","?29,166.67","?3,50,000.00","?3,50,000.00"
Sales Officer- Students,5,"?25,000.00","?1,25,000.00","?3,00,000.00","?15,00,000.00"
Sales Officer - Teachers,5,"?25,000.00","?1,25,000.00","?3,00,000.00","?15,00,000.00"
